date,bucket,count
20-07-2012,800,119
20-07-2012,900,123
20-07-2012,1000,173
20-07-2012,1100,226
20-07-2012,1200,284
20-07-2012,1300,257
20-07-2012,1400,268
20-07-2012,1500,244
20-07-2012,1600,191
20-07-2012,1700,204
20-07-2012,1800,187
20-07-2012,1900,177
20-07-2012,2000,164
20-07-2012,2100,125
20-07-2012,2200,140
20-07-2012,2300,109
20-07-2012,2400,103
21-07-2012,800,123
21-07-2012,900,165
21-07-2012,1000,237
21-07-2012,1100,278
21-07-2012,1200,338
21-07-2012,1300,306
21-07-2012,1400,316
21-07-2012,1500,269
21-07-2012,1600,271
21-07-2012,1700,241
21-07-2012,1800,188
21-07-2012,1900,174
21-07-2012,2000,158
21-07-2012,2100,153
21-07-2012,2200,132
22-07-2012,900,154
22-07-2012,1000,241
22-07-2012,1100,246
22-07-2012,1200,300
22-07-2012,1300,305
22-07-2012,1400,301
22-07-2012,1500,292
22-07-2012,1600,253
22-07-2012,1700,251
22-07-2012,1800,214
22-07-2012,1900,189
22-07-2012,2000,179
22-07-2012,2100,159
22-07-2012,2200,161
22-07-2012,2300,144
22-07-2012,2400,139
22-07-2012,2500,132
22-07-2012,2600,136
22-07-2012,2800,105
23-07-2012,800,120
23-07-2012,900,156
23-07-2012,1000,209
23-07-2012,1100,267
23-07-2012,1200,299
23-07-2012,1300,316
23-07-2012,1400,318
23-07-2012,1500,307
23-07-2012,1600,295
23-07-2012,1700,273
23-07-2012,1800,283
23-07-2012,1900,229
23-07-2012,2000,192
23-07-2012,2100,193
23-07-2012,2200,170
23-07-2012,2300,164
23-07-2012,2400,154
23-07-2012,2500,138
23-07-2012,2600,101
23-07-2012,2700,115
23-07-2012,2800,103
24-07-2012,800,105
24-07-2012,900,156
24-07-2012,1000,220
24-07-2012,1100,255
24-07-2012,1200,308
24-07-2012,1300,338
24-07-2012,1400,318
24-07-2012,1500,255
24-07-2012,1600,278
24-07-2012,1700,260
24-07-2012,1800,235
24-07-2012,1900,230
24-07-2012,2000,185
24-07-2012,2100,145
24-07-2012,2200,147
24-07-2012,2300,157
24-07-2012,2400,109
25-07-2012,800,104
25-07-2012,900,191
25-07-2012,1000,201
25-07-2012,1100,238
25-07-2012,1200,223
25-07-2012,1300,229
25-07-2012,1400,286
25-07-2012,1500,256
25-07-2012,1600,240
25-07-2012,1700,233
25-07-2012,1800,202
25-07-2012,1900,180
25-07-2012,2000,184
25-07-2012,2100,161
25-07-2012,2200,125
25-07-2012,2300,110
25-07-2012,2400,101
26-07-2012,1300,132
26-07-2012,1400,117
26-07-2012,1500,124
26-07-2012,1600,154
26-07-2012,1700,167
26-07-2012,1800,137
26-07-2012,1900,169
26-07-2012,2000,175
26-07-2012,2100,168
26-07-2012,2200,188
26-07-2012,2300,137
26-07-2012,2400,173
26-07-2012,2500,164
26-07-2012,2600,167
26-07-2012,2700,115
26-07-2012,2800,116
26-07-2012,2900,118
26-07-2012,3000,125
26-07-2012,3200,104
